symptoms,doctor_specialty
"muscle weakness, back pain, limited range of motion, bone pain, joint pain",Orthopedist
cough,General Physician
"sore throat, nausea, headache",General Physician
"fever, sore throat, hearing loss",General Physician
"muscle weakness, bone pain",Orthopedist
"headache, slurred speech, weakness, memory loss",Neurologist
"wheezing, itchy eyes",Allergist/Immunologist
"menstrual cramps, painful periods, heavy bleeding, irregular periods",Gynecologist
"runny nose, cold, sore throat",General Physician
"runny nose, loss of appetite, fatigue",General Physician
"suicidal thoughts, hallucinations, fever",Psychiatrist
"swelling of legs, shortness of breath, chest pain",Cardiologist
"cold, cough, fever, chills",General Physician
"hoarseness, headache, weight gain",ENT Specialist
"menstrual cramps, breast lump, heavy bleeding",Gynecologist
"constipation, blood in stool, headache",Gastroenterologist
"muscle weakness, bone pain",Orthopedist
"cold, cough",General Physician
"runny nose, itchy eyes",Allergist/Immunologist
"cold intolerance, weight gain, excessive thirst",Endocrinologist
"flank pain, blood in urine",Nephrologist
"hives, scaly patches",Dermatologist
"difficulty passing urine, blood in urine",Urologist
"headache, cough, runny nose",General Physician
"runny nose, hoarseness, headache, tinnitus",ENT Specialist
"headache, abdominal pain",Gastroenterologist
"fever, sudden vision loss, floaters",Ophthalmologist
"swelling of legs, sweating",Cardiologist
"fatigue, itchy eyes, runny nose, hives",Allergist/Immunologist
"fever, fatigue, headache, cold, chills",General Physician
"foamy urine, swelling of feet",Nephrologist
"runny nose, cold",General Physician
"headache, fever, mild headache, body ache",General Physician
"headache, heartburn, vomiting, bloating",Gastroenterologist
"nausea, vomiting, headache",Gastroenterologist
"hallucinations, anxiety, suicidal thoughts, insomnia",Psychiatrist
"abdominal pain, heartburn",Gastroenterologist
"heat intolerance, frequent urination",Endocrinologist
"memory loss, seizures, weakness",Neurologist
"nausea, body ache, fever, fatigue, sore throat",General Physician
"shortness of breath, high blood pressure, radiating arm pain",Cardiologist
"painful periods, irregular periods",Gynecologist
"sudden vision loss, watering eyes, blurred vision",Ophthalmologist
"lower abdominal pain, frequent urination",Urologist
"limited range of motion, swelling, bone pain, muscle weakness",Orthopedist
"abdominal pain, blood in stool, constipation, headache",Gastroenterologist
"fatigue, fever, chills",General Physician
cold intolerance,Endocrinologist
"blisters, hives, dry skin, hair loss, seizures",Dermatologist
swelling,Orthopedist
"runny nose, nasal congestion, fatigue",ENT Specialist
vaginal discharge,Gynecologist
"mild headache, cold",General Physician
"itchy eyes, fatigue, sneezing",Allergist/Immunologist
"irregular periods, pelvic pain, menstrual cramps, limited range of motion",Gynecologist
"mild headache, sore throat, painful periods",General Physician
"headache, loss of consciousness",Neurologist
"weight gain, heat intolerance",Endocrinologist
"vaginal discharge, menstrual cramps, painful periods, pelvic pain",Gynecologist
"numbness, seizures",Neurologist
"irregular periods, menstrual cramps, heavy bleeding, vaginal discharge, chest pain",Gynecologist
"memory loss, weakness",Neurologist
"excessive thirst, unexplained weight loss, cold intolerance, weight gain",Endocrinologist
"runny nose, nasal congestion, weight gain, hoarseness",ENT Specialist
"constipation, vomiting, nausea, abdominal pain, weight gain",Gastroenterologist
"cold, fever, sore throat, mild headache",General Physician
difficulty passing urine,Urologist
"bloating, vomiting",Gastroenterologist
weight gain,Pulmonologist
"high creatinine, flank pain",Nephrologist
"nasal congestion, hearing loss, hoarseness, tinnitus",ENT Specialist
"weight gain, heartburn",Gastroenterologist
"weakness, numbness, loss of consciousness, seizures, excessive thirst",Neurologist
"anxiety, fever, wheezing",Psychiatrist
"numbness, weakness",Neurologist
"sweating, swelling of legs, chest pain",Cardiologist
"loss of appetite, mild headache, cough",General Physician
"mild headache, chills, loss of appetite, cough",General Physician
"runny nose, body ache, chills, nausea",General Physician
hives,Dermatologist
"hearing loss, hoarseness",ENT Specialist
"high blood pressure, fainting, sweating",Cardiologist
"difficulty passing urine, burning urination, dizziness, fever",Urologist
"blood in stool, vomiting",Gastroenterologist
"wheezing, persistent cough",Pulmonologist
"persistent cough, chest tightness, recurrent lung infections, shortness of breath, wheezing",Pulmonologist
"hives, blisters",Dermatologist
acne,Dermatologist
"abdominal pain, blood in stool, headache",Gastroenterologist
"heavy bleeding, breast lump, vaginal discharge, panic attacks",Gynecologist
"unexplained weight loss, frequent urination",Endocrinologist
"stiffness, bone pain, joint pain, back pain",Orthopedist
"limited range of motion, back pain",Orthopedist
"fever, eye discharge, high blood pressure",Ophthalmologist
"body ache, chills",General Physician
"muscle weakness, limited range of motion, swelling, mood swings",Orthopedist
"swelling of legs, palpitations",Cardiologist
"runny nose, cough",General Physician
"sore throat, cough, runny nose, fever",General Physician
"heat intolerance, frequent urination",Endocrinologist
"palpitations, high blood pressure",Cardiologist
"fatigue, loss of appetite, mild headache",General Physician
"hives, runny nose, itchy eyes, fatigue",Allergist/Immunologist
"palpitations, high blood pressure, radiating arm pain",Cardiologist
"chills, body ache, fatigue",General Physician
"fatigue, wheezing, sneezing",Allergist/Immunologist
"breast lump, vaginal discharge",Gynecologist
"sweating, fainting, chest pain",Cardiologist
"fainting, high blood pressure, shortness of breath",Cardiologist
"chest tightness, weight gain, wheezing",Pulmonologist
"fainting, high blood pressure",Cardiologist
"high creatinine, weight gain, swelling of feet",Nephrologist
"palpitations, chest pain",Cardiologist
"dizziness, numbness",Neurologist
constipation,Gastroenterologist
"headache, nausea",Gastroenterologist
"heat intolerance, unexplained weight loss, dizziness",Endocrinologist
"loss of appetite, runny nose, mild headache, body ache",General Physician
"painful periods, irregular periods, headache",Gynecologist
"blood in urine, burning urination",Urologist
"abdominal pain, constipation",Gastroenterologist
"pelvic pain, breast lump",Gynecologist
"lower abdominal pain, fever, penile discharge",Urologist
nausea,General Physician
"fever, seizures, weakness, slurred speech, memory loss",Neurologist
"runny nose, headache",General Physician
"hallucinations, suicidal thoughts, depressed mood",Psychiatrist
"fainting, radiating arm pain, chest pain",Cardiologist
"shortness of breath, persistent cough, chest tightness, weight gain",Pulmonologist
"itching, scaly patches, acne, skin rash",Dermatologist
"runny nose, chills, cough",General Physician
"blisters, scaly patches, swelling of feet",Dermatologist
"blurred vision, red eye, lower abdominal pain",Ophthalmologist
"slurred speech, numbness, dizziness, seizures",Neurologist
"loss of appetite, fever, cold",General Physician
"chills, cough",General Physician
"headache, runny nose, sore throat, mild headache",General Physician
"heavy bleeding, menstrual cramps, breast lump, pelvic pain",Gynecologist
"weight gain, sore throat, tinnitus, headache, hoarseness",ENT Specialist
"blood in urine, burning urination",Urologist
"mild headache, chills",General Physician
"skin rash, blisters",Dermatologist
"fatigue, runny nose",General Physician
"depressed mood, fever",Psychiatrist
"weight gain, hearing loss",ENT Specialist
"chest tightness, shortness of breath, recurrent lung infections",Pulmonologist
"reduced urine output, foamy urine, weight gain",Nephrologist
"cough, runny nose",General Physician
"persistent cough, recurrent lung infections, shortness of breath",Pulmonologist
"nausea, fatigue, body ache, mild headache",General Physician
"flank pain, blood in urine, reduced urine output, high creatinine",Nephrologist
"body ache, fever",General Physician
hallucinations,Psychiatrist
"sneezing, fatigue, swelling after exposure",Allergist/Immunologist
fatigue,General Physician
"fever, red eye, floaters",Ophthalmologist
"scaly patches, redness, skin rash, acne",Dermatologist
scaly patches,Dermatologist
"itchy eyes, wheezing, swelling after exposure, sneezing",Allergist/Immunologist
"hives, fatigue, runny nose, wheezing, swelling after exposure",Allergist/Immunologist
"headache, weight gain, tinnitus, fatigue, ear pain",ENT Specialist
"fainting, palpitations, high blood pressure",Cardiologist
"fever, chills",General Physician
"stiffness, muscle weakness, back pain, swelling",Orthopedist
"weight gain, vomiting",Gastroenterologist
"sweating, radiating arm pain, fainting, nausea",Cardiologist
"swelling after exposure, hives, runny nose",Allergist/Immunologist
"runny nose, sore throat",General Physician
"nausea, abdominal pain",Gastroenterologist
"loss of appetite, chills",General Physician
"blurred vision, red eye",Ophthalmologist
"blood in urine, dizziness, fever",Urologist
"cold, mild headache, fever, nausea",General Physician
"loss of consciousness, memory loss, headache, numbness",Neurologist
"blisters, redness, hair loss",Dermatologist
"coughing blood, shortness of breath, weight gain, wheezing, unexplained weight loss",Pulmonologist
"mild headache, sore throat",General Physician
"sweating, fainting, shortness of breath, high blood pressure, radiating arm pain",Cardiologist
chills,General Physician
"frequent urination, lower abdominal pain, penile discharge, dizziness",Urologist
"hoarseness, runny nose, nasal congestion",ENT Specialist
"loss of appetite, chills, fatigue",General Physician
"unexplained weight loss, frequent urination, heat intolerance",Endocrinologist
"slurred speech, headache",Neurologist
frequent urination,Urologist
"eye pain, blurred vision, bone pain",Ophthalmologist
"weight gain, excessive thirst",Endocrinologist
"runny nose, headache, cold, sore throat",General Physician
"body ache, mild headache, cold, nausea, sore throat",General Physician
"fever, chills, nausea",General Physician
"fever, body ache, sore throat",General Physician
"cold, nausea, cough",General Physician
"itchy eyes, runny nose",Allergist/Immunologist
"eye pain, watering eyes",Ophthalmologist
"fatigue, cold, memory loss",General Physician
"chest pain, sweating",Cardiologist
"palpitations, fainting",Cardiologist
headache,General Physician
"coughing blood, recurrent lung infections, wheezing",Pulmonologist
"chest pain, radiating arm pain, shortness of breath",Cardiologist
"anxiety, insomnia",Psychiatrist
"chest pain, palpitations, sweating",Cardiologist
"wheezing, fatigue",Allergist/Immunologist
"fever, seizures, loss of consciousness, dizziness",Neurologist
"sweating, chest pain",Cardiologist
swelling of legs,Cardiologist
"persistent cough, coughing blood",Pulmonologist
"fever, mild headache",General Physician
"coughing blood, wheezing, recurrent lung infections",Pulmonologist
fever,Neurologist
"mild headache, nausea, body ache, radiating arm pain",General Physician
cold intolerance,Endocrinologist
"chest tightness, wheezing, dizziness",Pulmonologist
"bone pain, swelling, joint pain, stiffness",Orthopedist
bone pain,Orthopedist
"blood in urine, difficulty passing urine, frequent urination, fever",Urologist
"body ache, fatigue",General Physician
"itchy eyes, wheezing",Allergist/Immunologist
"hair loss, itching",Dermatologist
"swelling after exposure, hives",Allergist/Immunologist
"insomnia, fever",Psychiatrist
"weight gain, coughing blood",Pulmonologist
"hoarseness, weight gain, headache",ENT Specialist
wheezing,Pulmonologist
"scaly patches, redness, acne, blisters, dry skin",Dermatologist
skin rash,Dermatologist
"skin rash, dry skin",Dermatologist
"muscle weakness, back pain, limited range of motion",Orthopedist
"itching, dry skin, blisters",Dermatologist
"mild headache, headache",General Physician
"joint pain, bone pain",Orthopedist
"excessive thirst, heat intolerance, cold intolerance, frequent urination",Endocrinologist
